year,province,district,old_district,new_district,cabinet_origin,cabinet_represents,gen_altered
2004,adiyaman,kahta,0,0,0,0,0
2005,adiyaman,kahta,0,0,0,0,0
2006,adiyaman,kahta,0,0,0,0,0
2007,adiyaman,kahta,0,0,0,0,0
2008,adiyaman,kahta,0,0,0,0,0
2009,adiyaman,kahta,0,0,0,0,0
2010,adiyaman,kahta,0,0,0,0,0
2011,adiyaman,kahta,0,0,0,0,0
2012,adiyaman,kahta,0,0,0,0,0
2013,adiyaman,kahta,0,0,0,0,0
2014,adiyaman,kahta,0,0,0,0,0
2015,adiyaman,kahta,0,0,0,0,0
2016,adiyaman,kahta,0,0,0,0,0
2017,adiyaman,kahta,0,0,0,0,0
2018,adiyaman,kahta,0,0,0,0,0
2019,adiyaman,kahta,0,0,0,0,0
2020,adiyaman,kahta,0,0,0,0,0
2002,adiyaman,merkez,0,0,0,0,0
2003,adiyaman,merkez,0,0,0,0,0
2004,adiyaman,merkez,0,0,0,0,0
2005,adiyaman,merkez,0,0,0,0,0
2006,adiyaman,merkez,0,0,0,0,0
2007,adiyaman,merkez,0,0,0,0,0
2008,adiyaman,merkez,0,0,0,0,0
2009,adiyaman,merkez,0,0,0,0,0
2010,adiyaman,merkez,0,0,0,0,0
2011,adiyaman,merkez,0,0,0,0,0
2012,adiyaman,merkez,0,0,0,0,0
2013,adiyaman,merkez,0,0,0,0,0
2014,adiyaman,merkez,0,0,0,0,0
2015,adiyaman,merkez,0,0,0,0,0
2016,adiyaman,merkez,0,0,0,0,0
2017,adiyaman,merkez,0,0,0,0,0
2018,adiyaman,merkez,0,0,0,0,0
2019,adiyaman,merkez,0,0,0,0,0
2020,adiyaman,merkez,0,0,0,0,0
2002,adiyaman,samsat,0,0,0,0,0
2003,adiyaman,samsat,0,0,0,0,0
2004,adiyaman,samsat,0,0,0,0,0
2005,adiyaman,samsat,0,0,0,0,0
2006,adiyaman,samsat,0,0,0,0,0
2007,adiyaman,samsat,0,0,0,0,0
2008,adiyaman,samsat,0,0,0,0,0
2009,adiyaman,samsat,0,0,0,0,0
2010,adiyaman,samsat,0,0,0,0,0
2011,adiyaman,samsat,0,0,0,0,0
2012,adiyaman,samsat,0,0,0,0,0
2013,adiyaman,samsat,0,0,0,0,0
2014,adiyaman,samsat,0,0,0,0,0
2015,adiyaman,samsat,0,0,0,0,0
2016,adiyaman,samsat,0,0,0,0,0
2017,adiyaman,samsat,0,0,0,0,0
2018,adiyaman,samsat,0,0,0,0,0
2019,adiyaman,samsat,0,0,0,0,0
2020,adiyaman,samsat,0,0,0,0,0
2002,adiyaman,sincik,0,0,0,0,0
2003,adiyaman,sincik,0,0,0,0,0
2004,adiyaman,sincik,0,0,0,0,0
2005,adiyaman,sincik,0,0,0,0,0
2006,adiyaman,sincik,0,0,0,0,0
2007,adiyaman,sincik,0,0,0,0,0
2008,adiyaman,sincik,0,0,0,0,0
2009,adiyaman,sincik,0,0,0,0,0
2010,adiyaman,sincik,0,0,0,0,0
2011,adiyaman,sincik,0,0,0,0,0
2012,adiyaman,sincik,0,0,0,0,0
2013,adiyaman,sincik,0,0,0,0,0
2014,adiyaman,sincik,0,0,0,0,0
2015,adiyaman,sincik,0,0,0,0,0
2016,adiyaman,sincik,0,0,0,0,0
2017,adiyaman,sincik,0,0,0,0,0
2018,adiyaman,sincik,0,0,0,0,0
2019,adiyaman,sincik,0,0,0,0,0
2020,adiyaman,sincik,0,0,0,0,0
2002,adiyaman,tut,0,0,0,0,0
2003,adiyaman,tut,0,0,0,0,0
2004,adiyaman,tut,0,0,0,0,0
2005,adiyaman,tut,0,0,0,0,0
2006,adiyaman,tut,0,0,0,0,0
2007,adiyaman,tut,0,0,0,0,0
2008,adiyaman,tut,0,0,0,0,0
2009,adiyaman,tut,0,0,0,0,0
2010,adiyaman,tut,0,0,0,0,0
2011,adiyaman,tut,0,0,0,0,0
2012,adiyaman,tut,0,0,0,0,0
2013,adiyaman,tut,0,0,0,0,0
2014,adiyaman,tut,0,0,0,0,0
2015,adiyaman,tut,0,0,0,0,0
2016,adiyaman,tut,0,0,0,0,0
2017,adiyaman,tut,0,0,0,0,0
2018,adiyaman,tut,0,0,0,0,0
2019,adiyaman,tut,0,0,0,0,0
2020,adiyaman,tut,0,0,0,0,0
2002,afyonkarahisar,basmakci,0,0,0,0,0
2003,afyonkarahisar,basmakci,0,0,0,0,0
2004,afyonkarahisar,basmakci,0,0,0,0,0
2005,afyonkarahisar,basmakci,0,0,0,0,0
2006,afyonkarahisar,basmakci,0,0,0,0,0
2007,afyonkarahisar,basmakci,0,0,1,1,0
2008,afyonkarahisar,basmakci,0,0,1,1,0
2009,afyonkarahisar,basmakci,0,0,1,1,0
2010,afyonkarahisar,basmakci,0,0,1,1,0
2011,afyonkarahisar,basmakci,0,0,1,1,0
2012,afyonkarahisar,basmakci,0,0,1,1,0
2013,afyonkarahisar,basmakci,0,0,1,1,0
2014,afyonkarahisar,basmakci,0,0,1,1,0
2015,afyonkarahisar,basmakci,0,0,1,1,0
2016,afyonkarahisar,basmakci,0,0,1,1,0
2017,afyonkarahisar,basmakci,0,0,1,1,0
2018,afyonkarahisar,basmakci,0,0,1,1,0
2019,afyonkarahisar,basmakci,0,0,0,0,0
2020,afyonkarahisar,basmakci,0,0,0,0,0
2002,afyonkarahisar,bayat,0,0,0,0,0
2003,afyonkarahisar,bayat,0,0,0,0,0
2004,afyonkarahisar,bayat,0,0,0,0,0
2005,afyonkarahisar,bayat,0,0,0,0,0
2006,afyonkarahisar,bayat,0,0,0,0,0
2007,afyonkarahisar,bayat,0,0,1,1,0
2008,afyonkarahisar,bayat,0,0,1,1,0
2009,afyonkarahisar,bayat,0,0,1,1,0
2010,afyonkarahisar,bayat,0,0,1,1,0
2011,afyonkarahisar,bayat,0,0,1,1,0
2012,afyonkarahisar,bayat,0,0,1,1,0
2013,afyonkarahisar,bayat,0,0,1,1,0
2014,afyonkarahisar,bayat,0,0,1,1,0
2015,afyonkarahisar,bayat,0,0,1,1,0
2016,afyonkarahisar,bayat,0,0,1,1,0
2017,afyonkarahisar,bayat,0,0,1,1,0
2018,afyonkarahisar,bayat,0,0,1,1,0
2019,afyonkarahisar,bayat,0,0,0,0,0
2020,afyonkarahisar,bayat,0,0,0,0,0
2002,afyonkarahisar,bolvadin,0,0,0,0,0
2003,afyonkarahisar,bolvadin,0,0,0,0,0
2004,afyonkarahisar,bolvadin,0,0,0,0,0
2005,afyonkarahisar,bolvadin,0,0,0,0,0
2006,afyonkarahisar,bolvadin,0,0,0,0,0
2007,afyonkarahisar,bolvadin,0,0,1,1,0
2008,afyonkarahisar,bolvadin,0,0,1,1,0
2009,afyonkarahisar,bolvadin,0,0,1,1,0
2010,afyonkarahisar,bolvadin,0,0,1,1,0
2011,afyonkarahisar,bolvadin,0,0,1,1,0
2012,afyonkarahisar,bolvadin,0,0,1,1,0
2013,afyonkarahisar,bolvadin,0,0,1,1,0
2014,afyonkarahisar,bolvadin,0,0,1,1,0
2015,afyonkarahisar,bolvadin,0,0,1,1,0
2016,afyonkarahisar,bolvadin,0,0,1,1,0
2017,afyonkarahisar,bolvadin,0,0,1,1,0
2018,afyonkarahisar,bolvadin,0,0,1,1,0
2019,afyonkarahisar,bolvadin,0,0,0,0,0
2020,afyonkarahisar,bolvadin,0,0,0,0,0
2002,afyonkarahisar,cay,0,0,0,0,0
2003,afyonkarahisar,cay,0,0,0,0,0
2004,afyonkarahisar,cay,0,0,0,0,0
2005,afyonkarahisar,cay,0,0,0,0,0
2006,afyonkarahisar,cay,0,0,0,0,0
2007,afyonkarahisar,cay,0,0,1,1,0
2008,afyonkarahisar,cay,0,0,1,1,0
2009,afyonkarahisar,cay,0,0,1,1,0
2010,afyonkarahisar,cay,0,0,1,1,0
2011,afyonkarahisar,cay,0,0,1,1,0
2012,afyonkarahisar,cay,0,0,1,1,0
2013,afyonkarahisar,cay,0,0,1,1,0
2014,afyonkarahisar,cay,0,0,1,1,0
2015,afyonkarahisar,cay,0,0,1,1,0
2016,afyonkarahisar,cay,0,0,1,1,0
2017,afyonkarahisar,cay,0,0,1,1,0
2018,afyonkarahisar,cay,0,0,1,1,0
2019,afyonkarahisar,cay,0,0,0,0,0
2020,afyonkarahisar,cay,0,0,0,0,0
2002,afyonkarahisar,cobanlar,0,0,0,0,0
2003,afyonkarahisar,cobanlar,0,0,0,0,0
2004,afyonkarahisar,cobanlar,0,0,0,0,0
2005,afyonkarahisar,cobanlar,0,0,0,0,0
2006,afyonkarahisar,cobanlar,0,0,0,0,0
2007,afyonkarahisar,cobanlar,0,0,1,1,0
2008,afyonkarahisar,cobanlar,0,0,1,1,0
2009,afyonkarahisar,cobanlar,0,0,1,1,0
2010,afyonkarahisar,cobanlar,0,0,1,1,0
2011,afyonkarahisar,cobanlar,0,0,1,1,0
2012,afyonkarahisar,cobanlar,0,0,1,1,0
2013,afyonkarahisar,cobanlar,0,0,1,1,0
2014,afyonkarahisar,cobanlar,0,0,1,1,0
2015,afyonkarahisar,cobanlar,0,0,1,1,0
2016,afyonkarahisar,cobanlar,0,0,1,1,0
2017,afyonkarahisar,cobanlar,0,0,1,1,0
2018,afyonkarahisar,cobanlar,0,0,1,1,0
2019,afyonkarahisar,cobanlar,0,0,0,0,0
2020,afyonkarahisar,cobanlar,0,0,0,0,0
2002,afyonkarahisar,dazkiri,0,0,0,0,0
2003,afyonkarahisar,dazkiri,0,0,0,0,0
2004,afyonkarahisar,dazkiri,0,0,0,0,0
2005,afyonkarahisar,dazkiri,0,0,0,0,0
2006,afyonkarahisar,dazkiri,0,0,0,0,0
2007,afyonkarahisar,dazkiri,0,0,1,1,0
2008,afyonkarahisar,dazkiri,0,0,1,1,0
2009,afyonkarahisar,dazkiri,0,0,1,1,0
2010,afyonkarahisar,dazkiri,0,0,1,1,0
