pdy,imp_try_sum,imp_usd_sum,real_try_sum,dollars_sum,houses_sum,projects,try_idare_konut,try_afet_konutu,try_alt_gelir,try_ikmal_ihalesi,try_protokol_meb,try_restorasyon,try_altyapi_sosyal,try_danismanlik_hizmetleri,try_stadyum,try_millet_bahcesi,try_gelir_paylasimli,try_konut_sosyal_donati,try_bakim_onarim,try_kamu_hizmet,try_tarimkoy,try_kentsel_donusum,try_diger,try_talep_organizasyon,usd_idare_konut,usd_afet_konutu,usd_alt_gelir,usd_ikmal_ihalesi,usd_protokol_meb,usd_restorasyon,usd_altyapi_sosyal,usd_danismanlik_hizmetleri,usd_stadyum,usd_millet_bahcesi,usd_gelir_paylasimli,usd_konut_sosyal_donati,usd_bakim_onarim,usd_kamu_hizmet,usd_tarimkoy,usd_kentsel_donusum,usd_diger,usd_talep_organizasyon
bolu_merkez_2008,10689514.219162617,13106603.023070805,10689514.219162617,13106603.023070805,180,1,0,0,0,0,0,0,10689514.219162617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13106603.023070805,0,0,0,0,0,0,0,0,0,0,0
bolu_merkez_2011,1607775.0707283025,1944159.1784338895,1607775.0707283025,1944159.1784338895,72,1,0,0,1607775.0707283025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944159.1784338895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bolu_merkez_2012,7352848.262756553,8423719.376391983,7352848.262756553,8423719.376391983,NA,1,0,0,0,0,0,0,7352848.262756553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8423719.376391983,0,0,0,0,0,0,0,0,0,0,0
bolu_merkez_2013,8655384.1020679,9878563.364852786,8655384.1020679,9878563.364852786,NA,2,7008230.290447344,0,0,0,0,0,1647153.8116205565,0,0,0,0,0,0,0,0,0,0,0,7901234.567901235,0,0,0,0,0,1977328.7969515515,0,0,0,0,0,0,0,0,0,0,0
bolu_merkez_2018,38243706.27378421,33463694.568354763,38243706.27378421,33463694.568354763,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38243706.27378421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33463694.568354763,0
bolu_merkez_2020,5969467.187542963,3915541.4816870145,5969467.187542963,3915541.4816870145,NA,1,0,0,0,0,0,0,0,0,0,5969467.187542963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3915541.4816870145,0,0,0,0,0,0,0,0
bolu_mudurnu_2006,5003253.236409324,4613793.103448276,5003253.236409324,4613793.103448276,128,1,5003253.236409324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4613793.103448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bolu_mudurnu_2011,5214799.475252949,5666302.566903331,5214799.475252949,5666302.566903331,224,1,0,0,0,0,0,0,0,0,0,0,0,5214799.475252949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5666302.566903331,0,0,0,0,0,0
bolu_mudurnu_2012,3077520.131949161,3528364.849833148,3077520.131949161,3528364.849833148,112,1,0,0,0,0,0,0,0,0,0,0,0,3077520.131949161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3528364.849833148,0,0,0,0,0,0
bolu_mudurnu_2013,4237249.199413746,5181179.775280898,4237249.199413746,5181179.775280898,160,1,4237249.199413746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5181179.775280898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bolu_mudurnu_2015,17819149.95941012,17372468.117029257,17819149.95941012,17372468.117029257,496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17819149.95941012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17372468.117029257
bolu_mudurnu_2017,21414300.24974563,18296364.5943098,21414300.24974563,18296364.5943098,488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21414300.24974563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18296364.5943098
bolu_mudurnu_2018,5136640.207276883,4494620.83442666,5136640.207276883,4494620.83442666,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5136640.207276883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4494620.83442666
