province,district,registered_voters,valid_votes,akp,chp,mhp,year,province_district
elazig,aricak,2308,1943,720,NA,11,2004,elazig_aricak
elazig,baskil,4311,2900,1785,NA,35,2004,elazig_baskil
elazig,karakocan,8776,5475,751,690,21,2004,elazig_karakocan
elazig,keban,6524,3930,1242,NA,1345,2004,elazig_keban
elazig,kovancilar,10716,7213,2219,NA,181,2004,elazig_kovancilar
elazig,maden,5794,3737,1913,511,27,2004,elazig_maden
elazig,merkez,186628,109187,29255,6673,6289,2004,elazig_merkez
elazig,palu,5547,3769,2550,NA,15,2004,elazig_palu
elazig,sivrice,4161,3095,1271,30,50,2004,elazig_sivrice
erzincan,cayirli,2489,1720,417,NA,329,2004,erzincan_cayirli
erzincan,ilic,2090,1484,518,117,19,2004,erzincan_ilic
erzincan,kemah,1532,1043,535,83,85,2004,erzincan_kemah
erzincan,kemaliye,1642,958,607,NA,123,2004,erzincan_kemaliye
erzincan,merkez,49252,31621,16265,5029,9079,2004,erzincan_merkez
erzincan,otlukbeli,1378,1078,230,NA,177,2004,erzincan_otlukbeli
erzincan,refahiye,2771,1744,1000,96,604,2004,erzincan_refahiye
erzincan,tercan,3858,2662,1210,NA,735,2004,erzincan_tercan
erzincan,uzumlu,6175,3822,1966,NA,1751,2004,erzincan_uzumlu
erzurum,askale,7377,5006,2523,51,1635,2004,erzurum_askale
erzurum,cat,1821,1586,647,NA,35,2004,erzurum_cat
erzurum,hinis,5312,3557,1875,NA,NA,2004,erzurum_hinis
erzurum,horasan,9760,6335,2231,NA,1434,2004,erzurum_horasan
erzurum,ilica,7012,4649,2754,25,234,2004,erzurum_ilica
erzurum,ispir,4720,3429,324,NA,54,2004,erzurum_ispir
erzurum,karacoban,4272,3332,813,892,NA,2004,erzurum_karacoban
erzurum,karayazi,2450,1880,520,NA,NA,2004,erzurum_karayazi
erzurum,koprukoy,1003,833,110,364,138,2004,erzurum_koprukoy
erzurum,narman,3281,2582,453,NA,928,2004,erzurum_narman
erzurum,oltu,13023,8659,3864,1419,2206,2004,erzurum_oltu
erzurum,olur,1903,1333,603,NA,82,2004,erzurum_olur
erzurum,pasinler,9821,7063,4875,17,1850,2004,erzurum_pasinler
erzurum,pazaryolu,1337,889,490,NA,NA,2004,erzurum_pazaryolu
erzurum,senkaya,1838,1381,551,188,152,2004,erzurum_senkaya
erzurum,tekman,1640,1353,786,NA,NA,2004,erzurum_tekman
erzurum,tortum,3997,2884,1282,NA,257,2004,erzurum_tortum
erzurum,uzundere,2352,1831,676,NA,NA,2004,erzurum_uzundere
eskisehir,alpu,3523,2935,607,217,683,2004,eskisehir_alpu
eskisehir,beylikova,2902,2350,630,897,50,2004,eskisehir_beylikova
eskisehir,cifteler,8324,6730,1373,2052,3105,2004,eskisehir_cifteler
eskisehir,gunyuzu,1364,1141,512,NA,27,2004,eskisehir_gunyuzu
eskisehir,han,1144,932,492,419,2,2004,eskisehir_han
eskisehir,inonu,3215,2878,967,1891,NA,2004,eskisehir_inonu
eskisehir,mahmudiye,3805,3166,1391,839,769,2004,eskisehir_mahmudiye
eskisehir,mihalgazi,1350,1172,495,204,34,2004,eskisehir_mihalgazi
eskisehir,mihaliccik,2547,1991,793,358,430,2004,eskisehir_mihaliccik
eskisehir,saricakaya(3),1947,1493,1170,NA,20,2004,eskisehir_saricakaya(3)
eskisehir,seyitgazi,2663,2261,693,35,726,2004,eskisehir_seyitgazi
eskisehir,sivrihisar,6317,5062,1801,634,853,2004,eskisehir_sivrihisar
gaziantep,araban,6686,5253,2225,2809,43,2004,gaziantep_araban
gaziantep,islahiye,19720,13531,4277,2970,181,2004,gaziantep_islahiye
gaziantep,karkamis,5146,3718,81,1908,1664,2004,gaziantep_karkamis
gaziantep,nizip,43407,29939,13818,5677,418,2004,gaziantep_nizip
gaziantep,nurdagi,11782,8873,3585,NA,2743,2004,gaziantep_nurdagi
gaziantep,oguzeli,5674,4312,1911,1121,947,2004,gaziantep_oguzeli
