year,province,district,province_district,year_province_district,population
2015,bingol,adakli,bingol_adakli,2015_bingol_adakli,8625
2016,bingol,adakli,bingol_adakli,2016_bingol_adakli,8445
2017,bingol,adakli,bingol_adakli,2017_bingol_adakli,8221
2018,bingol,adakli,bingol_adakli,2018_bingol_adakli,9315
2019,bingol,adakli,bingol_adakli,2019_bingol_adakli,8550
2020,bingol,adakli,bingol_adakli,2020_bingol_adakli,7785
2002,bingol,genc,bingol_genc,2002_bingol_genc,41971
2003,bingol,genc,bingol_genc,2003_bingol_genc,40631
2004,bingol,genc,bingol_genc,2004_bingol_genc,39290
2005,bingol,genc,bingol_genc,2005_bingol_genc,37949
2006,bingol,genc,bingol_genc,2006_bingol_genc,36608
2007,bingol,genc,bingol_genc,2007_bingol_genc,35267
2008,bingol,genc,bingol_genc,2008_bingol_genc,37565
2009,bingol,genc,bingol_genc,2009_bingol_genc,35969
2010,bingol,genc,bingol_genc,2010_bingol_genc,35599
2011,bingol,genc,bingol_genc,2011_bingol_genc,35208
2012,bingol,genc,bingol_genc,2012_bingol_genc,34947
2013,bingol,genc,bingol_genc,2013_bingol_genc,35958
2014,bingol,genc,bingol_genc,2014_bingol_genc,34894
2015,bingol,genc,bingol_genc,2015_bingol_genc,34591
2016,bingol,genc,bingol_genc,2016_bingol_genc,34311
2017,bingol,genc,bingol_genc,2017_bingol_genc,33613
2018,bingol,genc,bingol_genc,2018_bingol_genc,38428
2019,bingol,genc,bingol_genc,2019_bingol_genc,34181
2020,bingol,genc,bingol_genc,2020_bingol_genc,29934
2002,bingol,karliova,bingol_karliova,2002_bingol_karliova,32318
2003,bingol,karliova,bingol_karliova,2003_bingol_karliova,32284
2004,bingol,karliova,bingol_karliova,2004_bingol_karliova,32250
2005,bingol,karliova,bingol_karliova,2005_bingol_karliova,32216
2006,bingol,karliova,bingol_karliova,2006_bingol_karliova,32181
2007,bingol,karliova,bingol_karliova,2007_bingol_karliova,32147
2008,bingol,karliova,bingol_karliova,2008_bingol_karliova,32569
2009,bingol,karliova,bingol_karliova,2009_bingol_karliova,32052
2010,bingol,karliova,bingol_karliova,2010_bingol_karliova,32350
2011,bingol,karliova,bingol_karliova,2011_bingol_karliova,32426
2012,bingol,karliova,bingol_karliova,2012_bingol_karliova,32244
2013,bingol,karliova,bingol_karliova,2013_bingol_karliova,32212
2014,bingol,karliova,bingol_karliova,2014_bingol_karliova,31467
2015,bingol,karliova,bingol_karliova,2015_bingol_karliova,30603
2016,bingol,karliova,bingol_karliova,2016_bingol_karliova,31226
2017,bingol,karliova,bingol_karliova,2017_bingol_karliova,30619
2018,bingol,karliova,bingol_karliova,2018_bingol_karliova,29650
2019,bingol,karliova,bingol_karliova,2019_bingol_karliova,29174
2020,bingol,karliova,bingol_karliova,2020_bingol_karliova,28698
2002,bingol,kigi,bingol_kigi,2002_bingol_kigi,6172
2003,bingol,kigi,bingol_kigi,2003_bingol_kigi,5970
2004,bingol,kigi,bingol_kigi,2004_bingol_kigi,5767
2005,bingol,kigi,bingol_kigi,2005_bingol_kigi,5564
2006,bingol,kigi,bingol_kigi,2006_bingol_kigi,5362
2007,bingol,kigi,bingol_kigi,2007_bingol_kigi,5159
2008,bingol,kigi,bingol_kigi,2008_bingol_kigi,5672
2009,bingol,kigi,bingol_kigi,2009_bingol_kigi,4945
2010,bingol,kigi,bingol_kigi,2010_bingol_kigi,5051
2011,bingol,kigi,bingol_kigi,2011_bingol_kigi,5803
2012,bingol,kigi,bingol_kigi,2012_bingol_kigi,4886
2013,bingol,kigi,bingol_kigi,2013_bingol_kigi,5500
2014,bingol,kigi,bingol_kigi,2014_bingol_kigi,5496
2015,bingol,kigi,bingol_kigi,2015_bingol_kigi,4958
2016,bingol,kigi,bingol_kigi,2016_bingol_kigi,4838
2017,bingol,kigi,bingol_kigi,2017_bingol_kigi,5097
2018,bingol,kigi,bingol_kigi,2018_bingol_kigi,5013
2019,bingol,kigi,bingol_kigi,2019_bingol_kigi,4578
2020,bingol,kigi,bingol_kigi,2020_bingol_kigi,4143
2002,bingol,merkez,bingol_merkez,2002_bingol_merkez,121464
2003,bingol,merkez,bingol_merkez,2003_bingol_merkez,123148
2004,bingol,merkez,bingol_merkez,2004_bingol_merkez,124832
2005,bingol,merkez,bingol_merkez,2005_bingol_merkez,126517
2006,bingol,merkez,bingol_merkez,2006_bingol_merkez,128201
2007,bingol,merkez,bingol_merkez,2007_bingol_merkez,129885
2008,bingol,merkez,bingol_merkez,2008_bingol_merkez,131666
2009,bingol,merkez,bingol_merkez,2009_bingol_merkez,134854
2010,bingol,merkez,bingol_merkez,2010_bingol_merkez,133916
2011,bingol,merkez,bingol_merkez,2011_bingol_merkez,140753
2012,bingol,merkez,bingol_merkez,2012_bingol_merkez,142455
2013,bingol,merkez,bingol_merkez,2013_bingol_merkez,143624
2014,bingol,merkez,bingol_merkez,2014_bingol_merkez,147087
2015,bingol,merkez,bingol_merkez,2015_bingol_merkez,150626
2016,bingol,merkez,bingol_merkez,2016_bingol_merkez,153011
2017,bingol,merkez,bingol_merkez,2017_bingol_merkez,157921
2018,bingol,merkez,bingol_merkez,2018_bingol_merkez,160165
2019,bingol,merkez,bingol_merkez,2019_bingol_merkez,164835
2020,bingol,merkez,bingol_merkez,2020_bingol_merkez,169505
2002,bingol,solhan,bingol_solhan,2002_bingol_solhan,33357
2003,bingol,solhan,bingol_solhan,2003_bingol_solhan,33275
2004,bingol,solhan,bingol_solhan,2004_bingol_solhan,33192
2005,bingol,solhan,bingol_solhan,2005_bingol_solhan,33110
2006,bingol,solhan,bingol_solhan,2006_bingol_solhan,33027
2007,bingol,solhan,bingol_solhan,2007_bingol_solhan,32945
2008,bingol,solhan,bingol_solhan,2008_bingol_solhan,32975
2009,bingol,solhan,bingol_solhan,2009_bingol_solhan,33294
2010,bingol,solhan,bingol_solhan,2010_bingol_solhan,33466
2011,bingol,solhan,bingol_solhan,2011_bingol_solhan,33496
2012,bingol,solhan,bingol_solhan,2012_bingol_solhan,33424
2013,bingol,solhan,bingol_solhan,2013_bingol_solhan,33535
2014,bingol,solhan,bingol_solhan,2014_bingol_solhan,33256
2015,bingol,solhan,bingol_solhan,2015_bingol_solhan,33088
2016,bingol,solhan,bingol_solhan,2016_bingol_solhan,33133
2017,bingol,solhan,bingol_solhan,2017_bingol_solhan,33130
2018,bingol,solhan,bingol_solhan,2018_bingol_solhan,33618
2019,bingol,solhan,bingol_solhan,2019_bingol_solhan,33655
2020,bingol,solhan,bingol_solhan,2020_bingol_solhan,33692
2002,bingol,yayladere,bingol_yayladere,2002_bingol_yayladere,3314
2003,bingol,yayladere,bingol_yayladere,2003_bingol_yayladere,3069
2004,bingol,yayladere,bingol_yayladere,2004_bingol_yayladere,2823
2005,bingol,yayladere,bingol_yayladere,2005_bingol_yayladere,2578
2006,bingol,yayladere,bingol_yayladere,2006_bingol_yayladere,2332
2007,bingol,yayladere,bingol_yayladere,2007_bingol_yayladere,2087
2008,bingol,yayladere,bingol_yayladere,2008_bingol_yayladere,1853
2009,bingol,yayladere,bingol_yayladere,2009_bingol_yayladere,1710
2010,bingol,yayladere,bingol_yayladere,2010_bingol_yayladere,1838
2011,bingol,yayladere,bingol_yayladere,2011_bingol_yayladere,2058
2012,bingol,yayladere,bingol_yayladere,2012_bingol_yayladere,2019
2013,bingol,yayladere,bingol_yayladere,2013_bingol_yayladere,2144
2014,bingol,yayladere,bingol_yayladere,2014_bingol_yayladere,1957
2015,bingol,yayladere,bingol_yayladere,2015_bingol_yayladere,1836
2016,bingol,yayladere,bingol_yayladere,2016_bingol_yayladere,1741
2017,bingol,yayladere,bingol_yayladere,2017_bingol_yayladere,1928
2018,bingol,yayladere,bingol_yayladere,2018_bingol_yayladere,2139
2019,bingol,yayladere,bingol_yayladere,2019_bingol_yayladere,2021
2020,bingol,yayladere,bingol_yayladere,2020_bingol_yayladere,1903
2002,bingol,yedisu,bingol_yedisu,2002_bingol_yedisu,3545
2003,bingol,yedisu,bingol_yedisu,2003_bingol_yedisu,3519
2004,bingol,yedisu,bingol_yedisu,2004_bingol_yedisu,3493
2005,bingol,yedisu,bingol_yedisu,2005_bingol_yedisu,3467
2006,bingol,yedisu,bingol_yedisu,2006_bingol_yedisu,3441
2007,bingol,yedisu,bingol_yedisu,2007_bingol_yedisu,3415
2008,bingol,yedisu,bingol_yedisu,2008_bingol_yedisu,3188
2009,bingol,yedisu,bingol_yedisu,2009_bingol_yedisu,2916
2010,bingol,yedisu,bingol_yedisu,2010_bingol_yedisu,2903
2011,bingol,yedisu,bingol_yedisu,2011_bingol_yedisu,2835
2012,bingol,yedisu,bingol_yedisu,2012_bingol_yedisu,2982
2013,bingol,yedisu,bingol_yedisu,2013_bingol_yedisu,3096
2014,bingol,yedisu,bingol_yedisu,2014_bingol_yedisu,2957
2015,bingol,yedisu,bingol_yedisu,2015_bingol_yedisu,2857
2016,bingol,yedisu,bingol_yedisu,2016_bingol_yedisu,2855
2017,bingol,yedisu,bingol_yedisu,2017_bingol_yedisu,2825
2018,bingol,yedisu,bingol_yedisu,2018_bingol_yedisu,2877
2019,bingol,yedisu,bingol_yedisu,2019_bingol_yedisu,2818
2020,bingol,yedisu,bingol_yedisu,2020_bingol_yedisu,2759
2002,bitlis,adilcevaz,bitlis_adilcevaz,2002_bitlis_adilcevaz,49773
2003,bitlis,adilcevaz,bitlis_adilcevaz,2003_bitlis_adilcevaz,47911
2004,bitlis,adilcevaz,bitlis_adilcevaz,2004_bitlis_adilcevaz,46049
2005,bitlis,adilcevaz,bitlis_adilcevaz,2005_bitlis_adilcevaz,44188
