pdym,imp_try_sum,imp_usd_sum,real_try_sum,dollars_sum,houses_sum,projects,try_idare_konut,try_afet_konutu,try_alt_gelir,try_ikmal_ihalesi,try_protokol_meb,try_restorasyon,try_altyapi_sosyal,try_danismanlik_hizmetleri,try_stadyum,try_millet_bahcesi,try_gelir_paylasimli,try_konut_sosyal_donati,try_bakim_onarim,try_kamu_hizmet,try_tarimkoy,try_kentsel_donusum,try_diger,try_talep_organizasyon,usd_idare_konut,usd_afet_konutu,usd_alt_gelir,usd_ikmal_ihalesi,usd_protokol_meb,usd_restorasyon,usd_altyapi_sosyal,usd_danismanlik_hizmetleri,usd_stadyum,usd_millet_bahcesi,usd_gelir_paylasimli,usd_konut_sosyal_donati,usd_bakim_onarim,usd_kamu_hizmet,usd_tarimkoy,usd_kentsel_donusum,usd_diger,usd_talep_organizasyon
giresun_sebinkarahisar_2017_5,3137091.6472232174,2716121.8217379153,3137091.6472232174,2716121.8217379153,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3137091.6472232174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2716121.8217379153
giresun_tirebolu_2019_12,11128877.518388232,8421780.466724286,11128877.518388232,8421780.466724286,274,1,0,0,0,0,0,0,0,0,0,0,0,11128877.518388232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8421780.466724286,0,0,0,0,0,0
gumushane_kelkit_2004_11,8253937.947494034,6489006.254343294,8253937.947494034,6489006.254343294,112,1,8253937.947494034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6489006.254343294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gumushane_kelkit_2012_12,936810.0441101011,1114221.724524076,936810.0441101011,1114221.724524076,NA,1,0,0,0,0,0,0,936810.0441101011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114221.724524076,0,0,0,0,0,0,0,0,0,0,0
gumushane_kose_2012_7,2717283.00859752,3113028.9532293985,2717283.00859752,3113028.9532293985,84,1,0,0,0,0,0,0,0,0,0,0,0,2717283.00859752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3113028.9532293985,0,0,0,0,0,0
gumushane_kurtun_2006_10,5975484.807012034,5510344.827586207,5975484.807012034,5510344.827586207,176,1,0,5975484.807012034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5510344.827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gumushane_merkez_2004_2,5685878.662079293,4517319.277108434,5685878.662079293,4517319.277108434,192,1,5685878.662079293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4517319.277108434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gumushane_merkez_2005_2,1736429.2383270946,1507575.7575757576,1736429.2383270946,1507575.7575757576,NA,1,0,0,0,0,0,0,1736429.2383270946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1507575.7575757576,0,0,0,0,0,0,0,0,0,0,0
gumushane_merkez_2005_7,14859215.017064845,13044943.82022472,14859215.017064845,13044943.82022472,338,1,14859215.017064845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13044943.82022472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gumushane_merkez_2006_1,395598.36270718457,369532.42835595773,395598.36270718457,369532.42835595773,NA,1,0,0,0,0,0,0,395598.36270718457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369532.42835595773,0,0,0,0,0,0,0,0,0,0,0
